probability sample: 1,probability sample: 2,probability sample: 3,probability sample: 4,probability sample: 5,probability sample: 6,probability sample: 7,probability sample: 8,probability sample: 9,probability sample: 10,GameID,Home Team Result
0.5997753967412506,0.4997596934300405,0.5356934241901058,0.7214973812109232,0.6535640842385031,0.8040979292106284,0.7833048616954276,0.965949814413077,0.9761720654114436,0.9751801149764888,2009091300,W
0.5611842295975573,0.7171508808834001,0.7227877233493183,0.6236320837578002,0.6275132423602647,0.7641364381444924,0.5228444531120704,0.7391174493939289,0.6603268304469162,0.6942760829671006,2009091301,W
0.6013009653098529,0.6165230687674089,0.38854638773382016,0.1020555344101862,0.03072059851992057,0.01878680228745977,0.0011160519286844695,0.0006536757163826401,0.00028606295127853176,0.0014422878767474932,2009091302,L
0.5791422735604079,0.4776702620078739,0.44926139986681546,0.38834413906595183,0.3769193653403315,0.4357251781162078,0.3624548849989721,0.1278929471512255,0.059012156261285524,0.001162172863798605,2009091304,L
0.5676483479021273,0.3921911281656545,0.4716895544429392,0.5259271388661504,0.19575510325494566,0.1570078654810475,0.05291036283071393,0.05846581202514115,0.04815819067452664,0.004836163568235796,2009091305,L
0.6164121800756216,0.44764129924085305,0.5959014149892848,0.3733442630230248,0.5525877059576376,0.5080064156482005,0.7923751029947944,0.6858003063953326,0.6365008068650196,0.7614316474848702,2009091306,W
0.7485970546171986,0.8399899965078443,0.7916164882834381,0.7244806830818256,0.8394485272490253,0.8577153693743137,0.8835141312610458,0.8924544087707909,0.9598366650806414,0.9975868989785588,2009091307,W
0.4549169398962281,0.5150630895409112,0.39130601741269977,0.6106056937539279,0.5555962053158945,0.2720913730166409,0.1055167800940376,0.1632852990662789,0.14722978092486685,0.007559166121433813,2009091308,L
0.5437063956139397,0.35809562692690905,0.3673736848030301,0.29591013896960755,0.21576482389370374,0.256370724368155,0.3754571710337901,0.6294101882655201,0.4778259095907256,0.35281129080618606,2009091309,L
0.6046170982929517,0.5483412823731577,0.6774498981970385,0.7320822048166361,0.7621762452808839,0.5164269218843471,0.6333890340782187,0.4771596330515414,0.5686851124419885,0.8228624928201272,2009091310,L
0.42928132426462096,0.5468425418993071,0.4010458478987117,0.6468089373565654,0.7899946649226607,0.8890362929255314,0.911809788331948,0.999033884513054,0.999564969335546,0.998901150675852,2009091311,W
0.4895793956467737,0.3955339336627805,0.5384450180750113,0.5233281091119633,0.7806979275522629,0.6725197655655286,0.3894473332412659,0.4804184897886497,0.4550684156530817,0.2347526860786769,2009091312,W
0.5071737526020291,0.3874425278555837,0.24713612121431736,0.40041477369188977,0.3666946237614673,0.3778620798776448,0.4887676189464994,0.40862043380723206,0.2795782033812584,0.12677230813707782,2009091400,W
0.4751960907427454,0.6601130411969027,0.6802312511926244,0.6083985366474872,0.5021042313642037,0.4117438494405111,0.4637785175496764,0.6030596255746613,0.4710194316133032,0.34922065588443085,2009091401,L
0.38976507748074907,0.525745682981263,0.6080344704880184,0.5179460345976163,0.5550449593325311,0.846429404813909,0.7661927659828743,0.882078589583012,0.8893476948563893,0.846826309019981,2009092000,W
0.610350554609006,0.594123526081028,0.554926319456571,0.7003199587435202,0.7522620771027289,0.5413638582974687,0.27539949452699103,0.24281923394610996,0.13266291091995147,0.025125761610457997,2009092001,L
