probability sample: 1,probability sample: 2,probability sample: 3,probability sample: 4,probability sample: 5,probability sample: 6,probability sample: 7,probability sample: 8,probability sample: 9,probability sample: 10,probability sample: 11,probability sample: 12,GameID,Home Team Result
0.4702510605557001,0.513130360968052,0.4912557524752682,0.5807631574802098,0.6860253885650257,0.6119134263994888,0.8550128384989145,0.8326445665660284,0.7434809752668223,0.9679153800343824,0.958612496068502,0.961940955094588,2009091300,W
0.6806933018242791,0.705112916201844,0.7483785632221475,0.7606236713858984,0.6964275868600833,0.5623903304655377,0.738103742579547,0.4728743961412214,0.4975004692494227,0.6892316514633401,0.6614227631236845,0.6794387245967349,2009091301,W
0.6112818167315149,0.6165230687674089,0.5446408695643709,0.3281170946281326,0.05339494148384527,0.06204263143409505,0.0190812332649718,0.03910691742946225,0.009637499383768592,0.008516792166311384,0.0002125556012211316,0.00018465174034199008,2009091302,L
0.5879353288213776,0.5033412890289821,0.4697010149434834,0.2732599590601048,0.3797782998697951,0.4261630296115884,0.4498707826838851,0.35171242066985553,0.2234576517426552,0.17084092105004553,0.13398217637576054,0.0068140763483256475,2009091304,L
0.5036989355668356,0.39885192418025,0.4231617001011472,0.4720785904537573,0.3792068710022565,0.17322940227573966,0.15844962871185952,0.106128690412287,0.06261213912371293,0.03140212129793009,0.07398141506442324,0.010756561347425088,2009091305,L
0.5050919781714286,0.4848715989657495,0.5725787986045262,0.3843012496245365,0.5348075388407293,0.5508895852749144,0.4502899838371453,0.6177409822592389,0.772121750459856,0.6785819326399803,0.5594585055963168,0.6666260922635893,2009091306,W
0.8462187032241478,0.8249886921261482,0.7624656858998727,0.7034052547182786,0.7573745990073675,0.8878206273312952,0.8776803204589367,0.8996690012174309,0.7828851838055159,0.9073486374154576,0.9460295316734859,0.9698929396244488,2009091307,W
0.4673919924545877,0.32096505067139003,0.3573819711018358,0.4665616896141525,0.5459943985637803,0.5755006748955949,0.2587493665937158,0.1389830216216571,0.09782692490416922,0.15621445154725225,0.1215231293479893,0.026331813842730308,2009091308,L
0.5095578254415843,0.3292604957991989,0.4014405890679789,0.33408711032809923,0.3879996444801051,0.1168734987338289,0.256370724368155,0.34584890715753325,0.5408468064730927,0.626241918557752,0.4601747343535527,0.3278344614267799,2009091309,L
0.6089108272290804,0.5807239474222494,0.7149026498811469,0.6610345452813916,0.8646668421120949,0.8052826947330739,0.5733182734770094,0.6442223788624521,0.678041524853604,0.5783719827092856,0.5686851124419885,0.8284905523485384,2009091310,L
0.5309255059637406,0.5830744135722061,0.4014122472775132,0.5579836634661157,0.7106790774294194,0.8022122181343677,0.8932405763382409,0.8746243554682973,0.9877251477128074,0.9994033590750434,0.9997695126875048,0.9999242545505236,2009091311,W
0.5636393147704621,0.3969570246581136,0.45196698471398,0.6023192540624073,0.5636290102791777,0.7955537632703193,0.7789499645116471,0.43785884552612697,0.4889824550412339,0.4202240264498357,0.4828229427221049,0.3250480461420624,2009091312,W
0.5794340108721722,0.3854172034236997,0.22421338231248025,0.2979521396498266,0.4923945216816773,0.3729153717868092,0.3346132930221155,0.36568441433318943,0.2898698933220621,0.39168941312902855,0.27025671779959104,0.1563469911910398,2009091400,W
0.5178614085608868,0.64764795127617,0.6899373327516749,0.7122202007651354,0.6159300339036964,0.4944056189045701,0.4465164615883639,0.627151556297277,0.4885319924534189,0.6233805107222258,0.4710194316133032,0.3864650576644161,2009091401,L
0.5038656100915255,0.4813454958341133,0.6040940407792075,0.4469200654522131,0.5160754271608633,0.5877618793698315,0.8282501720434693,0.8706893294619329,0.8448472925594924,0.8913421502999798,0.911435279357913,0.8435542402752769,2009092000,W
0.616821339709353,0.5863192824009784,0.7031204847506862,0.5902482848415733,0.7684282697358216,0.7303842998613823,0.5145900524729622,0.5156526052609809,0.29830336689113396,0.20340479744501566,0.17457022146856327,0.02797086178054875,2009092001,L
0.3399060222983086,0.4491504367827422,0.6562109743174895,0.5663870411268199,0.7057813988068904,0.5725793259593805,0.4104458822182036,0.569243296728069,0.3450923685382995,0.3082940013700214,0.2586129302333391,0.08434340705462795,2009092002,L
0.3700432891243217,0.3291368537563801,0.3488035196022222,0.4762556147513506,0.4446133652680818,0.4484551413217073,0.1593611007192225,0.2691524688694347,0.09977555756051758,0.14138660281642212,0.26856424943872764,0.6178913147047916,2009092003,L
