probability sample: 1,probability sample: 2,probability sample: 3,probability sample: 4,probability sample: 5,probability sample: 6,probability sample: 7,probability sample: 8,GameID,Home Team Result
0.6142921221089389,0.4289438779040981,0.5611762932618514,0.6834667078361494,0.824690854701303,0.7434809752668223,0.9283955042989404,0.9656794200889294,2009091300,W
0.5781187181905508,0.7473618152292636,0.7369250943238813,0.5981052620951778,0.7573516196036174,0.5226680412319291,0.57990979955886,0.6360943519813622,2009091301,W
0.6112818167315149,0.580340951737485,0.2359581284704796,0.035011014041273165,0.024065123323252943,0.009637499383768592,0.006221639714559135,0.00032457077072567403,2009091302,L
0.6661567630028987,0.4783375335003682,0.2732599590601048,0.3817005598083804,0.3753224485290396,0.2234576517426552,0.11921078637680282,0.003739848157439632,2009091304,L
0.5036989355668356,0.3960751585895247,0.4720785904537573,0.3204325532996195,0.11494019221127705,0.06965806872322458,0.13299099650554205,0.010024426591873305,2009091305,L
0.4988637366704373,0.5135997398015562,0.3843012496245365,0.6220117130801479,0.5591235352561111,0.772121750459856,0.6654692394928525,0.6945641369738675,2009091306,W
0.8190155762854461,0.8637930615795433,0.7034052547182786,0.8405967974286408,0.8597840458152429,0.7828851838055159,0.9304174843862764,0.9948488885528536,2009091307,W
0.4907593010289838,0.2547885641240655,0.4665616896141525,0.4794261729138073,0.1250359521570168,0.08896315339323024,0.12303979443236328,0.020080616585775424,2009091308,L
0.5095578254415843,0.295137037916969,0.33408711032809923,0.3212840862270957,0.3399581730723309,0.4884994723270826,0.5058323210906384,0.3270886384723631,2009091309,L
0.6215769985350783,0.6108336283722496,0.6610345452813916,0.7836401502740019,0.5324491959942739,0.678041524853604,0.582125799208362,0.8284905523485384,2009091310,L
0.4515794698633996,0.4733589892628072,0.5579836634661157,0.7461333266629272,0.9011939732026994,0.9808156727279834,0.9996361252651677,0.9997766049688992,2009091311,W
0.4841888633847302,0.4832319358333611,0.6023192540624073,0.7619062854992663,0.6865671605622541,0.4889824550412339,0.5193570238314659,0.3206720178398317,2009091312,W
0.5687639734164661,0.2847693172892297,0.2979521396498266,0.3204840225417565,0.3452459490888053,0.2898698933220621,0.3853574177506445,0.11381070467573197,2009091400,W
0.4903537680017219,0.6157747959986889,0.7122202007651354,0.5089864607760715,0.4117438494405111,0.6047927197504063,0.6054693434082989,0.35852591968017883,2009091401,L
0.4542344959715783,0.36400710757167776,0.4469200654522131,0.5722193992075937,0.8462449811792179,0.8486118310628565,0.9368470836005336,0.7999158180177963,2009092000,W
0.5886680658676768,0.6198893303465913,0.6134618723156818,0.7438162458466665,0.4791603973325378,0.29830336689113396,0.13467287870016975,0.028239809038717145,2009092001,L
0.3729647408834856,0.6316848165695609,0.5624079105978368,0.6577171131145054,0.3961373233970216,0.3450923685382995,0.2887641244598764,0.09185615926775503,2009092002,L
0.3840579808891974,0.2866776854327709,0.4762556147513506,0.5467197169056173,0.14693509734450672,0.09977555756051758,0.18864182085407166,0.5681185058694829,2009092003,L
0.4714026780558864,0.5876723209764494,0.6369648186491867,0.4828234913688744,0.4306043309802898,0.4962617005727927,0.4540113685319272,0.42616181685296695,2009092004,L
